Report_Jahr,Semester,Kategorie,Total,Frauen_%,Auslaendische_%
2020,HS 2020,Titularprofessuren,107.0,35.5,14.0
2020,HS 2020,Privatdozierende,114.0,38.6,43.9
2020,HS 2020,Lehrbeauftragte,778.0,57.5,46.5
2020,HS 2020,Mathematisch-naturwissenschaftliche Fakultät,541.0,29.2,52.1
2020,HS 2020,Professuren 1 2,116.0,21.6,62.1
2020,HS 2020,Titularprofessuren,52.0,13.5,21.2
2020,HS 2020,Privatdozierende,95.0,31.6,51.6
2020,HS 2020,Lehrbeauftragte,279.0,34.5,54.0
2020,HS 2020,Zentrale Dienste der Universität,53.0,71.7,26.4
2020,HS 2020,Professuren,,,
2020,HS 2020,Titularprofessuren,2.0,50.0,
2020,HS 2020,Privatdozierende,1.0,,
2020,HS 2020,Lehrbeauftragte,50.0,74.0,28.0
2020,HS 2020,Schwerpunkt Forschung und Lehre,14.0,35.7,92.9
2020,HS 2020,Professuren,10.0,50.0,90.0
2020,HS 2020,Titularprofessuren,,,
2020,HS 2020,Privatdozierende,,,
2020,HS 2020,Lehrbeauftragte,4.0,,100.0
2020,HS 2020,Total,35.8,40.6,
2020,HS 2020,Professuren 1 2 6,718.0,25.1,54.5
2020,HS 2020,Titularprofessuren,651.0,18.9,19.0
2020,HS 2020,Privatdozierende,951.0,28.1,41.7
2020,HS 2020,Lehrbeauftragte,45.0,41.6,
2020,HS 2020,Theologische Fakultät,15.0,,53.3
2020,HS 2020,Rechtswissenschaftliche Fakultät,55.0,,38.2
2020,HS 2020,Wirtschaftswissenschaftliche Fakultät,95.0,,72.6
2020,HS 2020,Medizinische Fakultät,203.0,,47.3
2020,HS 2020,Vetsuisse-Fakultät,38.0,,42.1
2020,HS 2020,Philosophische Fakultät,186.0,,53.8
2020,HS 2020,Mathematisch-naturwissenschaftliche Fakultät,116.0,,62.1
2020,HS 2019,Theologische Fakultät,78.0,32.1,41.0
2020,HS 2019,Professuren,17.0,17.6,52.9
2020,HS 2019,Titularprofessuren,11.0,18.2,27.3
2020,HS 2019,Privatdozierende,16.0,18.8,56.3
2020,HS 2019,Lehrbeauftragte,34.0,50.0,32.4
2020,HS 2019,Rechtswissenschaftliche Fakultät,205.0,27.8,19.0
2020,HS 2019,Professuren 1 2,54.0,25.9,37.0
2020,HS 2019,Titularprofessuren,40.0,17.5,2.5
2020,HS 2019,Privatdozierende,31.0,35.5,19.4
2020,HS 2019,Lehrbeauftragte,80.0,31.3,15.0
2020,HS 2019,Wirtschaftswissenschaftliche Fakultät,325.0,20.0,57.2
2020,HS 2019,Professuren 1 2,89.0,14.6,71.9
2020,HS 2019,Titularprofessuren,21.0,9.5,23.8
2020,HS 2019,Privatdozierende,31.0,25.8,45.2
2020,HS 2019,Lehrbeauftragte,184.0,22.8,56.0
2020,HS 2019,Medizinische Fakultät,31.6,35.2,
2020,HS 2019,Professuren 1 2,206.0,14.1,49.5
2020,HS 2019,Titularprofessuren,387.0,16.3,19.6
2020,HS 2019,Privatdozierende,590.0,24.4,40.2
2020,HS 2019,Lehrbeauftragte,40.8,35.1,
2020,HS 2019,Vetsuisse-Fakultät,141.0,46.8,44.0
2020,HS 2019,Professuren,37.0,32.4,43.2
2020,HS 2019,Titularprofessuren,21.0,28.6,38.1
2020,HS 2019,Privatdozierende,30.0,46.7,60.0
2020,HS 2019,Lehrbeauftragte,53.0,64.2,37.7
2020,HS 2019,Philosophische Fakultät,50.9,43.6,
2020,HS 2019,Professuren,185.0,38.4,54.1
2020,HS 2019,Titularprofessuren,102.0,33.3,14.7
2020,HS 2019,Privatdozierende,113.0,40.7,42.5
2020,HS 2019,Lehrbeauftragte,763.0,57.4,45.1
2020,HS 2019,Mathematisch-naturwissenschaftliche Fakultät,528.0,28.6,53.4
2020,HS 2019,Professuren 1 2,113.0,19.5,61.1
2020,HS 2019,Titularprofessuren,52.0,13.5,23.1
2020,HS 2019,Privatdozierende,89.0,29.2,51.7
2020,HS 2019,Lehrbeauftragte,274.0,35.0,56.6
2020,HS 2019,Zentrale Dienste der Universität,55.0,72.7,34.5
2020,HS 2019,Professuren,,,
2020,HS 2019,Titularprofessuren,,,
2020,HS 2019,Privatdozierende,1.0,,
2020,HS 2019,Lehrbeauftragte,54.0,74.1,35.2
2020,HS 2019,Schwerpunkt Forschung und Lehre,14.0,64.3,78.6
2020,HS 2019,Professuren,12.0,50.0,83.3
2020,HS 2019,Titularprofessuren,,,
2020,HS 2019,Privatdozierende,,,
2020,HS 2019,Lehrbeauftragte,2.0,50.0,50.0
2020,HS 2019,Total,35.6,40.1,
2020,HS 2019,Professuren 1 2 6,713.0,23.8,54.5
2020,HS 2019,Titularprofessuren,634.0,19.2,18.9
2020,HS 2019,Privatdozierende,901.0,28.0,41.9
2020,HS 2019,Lehrbeauftragte,44.4,40.6,
2019,HS 2019,Theologische Fakultät,78.0,32.1,41.0
2019,HS 2019,Professuren,17.0,17.6,52.9
2019,HS 2019,Titularprofessuren,11.0,18.2,27.3
2019,HS 2019,Privatdozierende,16.0,18.8,56.3
2019,HS 2019,Externe Lehrpersonen,34.0,50.0,32.4
2019,HS 2019,Rechtswissenschaftliche Fakultät,205.0,27.8,19.0
2019,HS 2019,Professuren,54.0,25.9,37.0
2019,HS 2019,Titularprofessuren,40.0,17.5,2.5
2019,HS 2019,Privatdozierende,31.0,35.5,19.4
2019,HS 2019,Externe Lehrpersonen,80.0,31.3,15.0
2019,HS 2019,Wirtschaftswissenschaftliche Fakultät,325.0,20.0,57.2
2019,HS 2019,Professuren 1 3 7,89.0,14.6,71.9
2019,HS 2019,Titularprofessuren,21.0,9.5,23.8
2019,HS 2019,Privatdozierende,31.0,25.8,45.2
2019,HS 2019,Externe Lehrpersonen,184.0,22.8,56.0
