Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.1 Zentrale Verwaltung,Professor/-innen,UZH,0
1982,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,0
1982,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
1982,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
1982,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
1982,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
1982,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,1.1 Theologie,Professor/-innen,UZH,11
1983,1.1 Theologie,Übrige Dozierende,UZH,23
1983,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,19
1983,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,40
1983,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,148
1983,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,76
1983,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,30
1983,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,79
1983,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,65
1983,1.4 Sozialwissenschaften,Professor/-innen,UZH,17
1983,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,145
1983,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,78
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,2
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,13
1983,2 Wirtschaftswissenschaften,Professor/-innen,UZH,22
1983,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,73
1983,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,91
1983,3 Recht,Professor/-innen,UZH,25
1983,3 Recht,Übrige Dozierende,UZH,66
1983,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,75
1983,4.1 Exakte Wissenschaften,Professor/-innen,UZH,25
1983,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,42
1983,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,59
1983,4.2 Naturwissenschaften,Professor/-innen,UZH,48
1983,4.2 Naturwissenschaften,Übrige Dozierende,UZH,167
1983,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,230
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,1
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,5.1 Humanmedizin,Professor/-innen,UZH,83
1983,5.1 Humanmedizin,Übrige Dozierende,UZH,399
1983,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,195
1983,5.2 Zahnmedizin,Professor/-innen,UZH,7
1983,5.2 Zahnmedizin,Übrige Dozierende,UZH,37
1983,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,87
1983,5.3 Veterinärmedizin,Professor/-innen,UZH,13
1983,5.3 Veterinärmedizin,Übrige Dozierende,UZH,38
1983,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,106
1983,5.4 Pharmazie,Professor/-innen,UZH,5
1983,5.4 Pharmazie,Übrige Dozierende,UZH,1
1983,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
