Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistenzprofessor/innen,,,1,3,3,3,3,3,3,3,2,2,3,3,2,3,5,6,6,5
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Wissenschaftliche Mitarbeiten..,45.6,65,77.1,95.6,98.9,104.8,108.4,105.8,111.7,120.7,129.8,153.1,139.8,149.7,144.1,161.6,161.4,164.8,179.2,185.3
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Techn. & adm. Mitarbeitende,11.5,5.2,7.9,5.3,5.3,5,4.6,2.4,3.2,3.6,4.8,5,5.3,2.6,4.2,4.6,2.7,3.7,5.1,9.4
Ausnahme,Gesamtwert,,0.5,0,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Gesamtwert,0.5,0,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Wissenschaftliche Mitarbeiten..,0.5,0,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Techn. & adm. Mitarbeitende,,,,,,,,,,,,,,,,,,,,
Ausserdep. L&F-Einheiten und Übrige,Gesamtwert,,48.1,57.8,68,90.9,98.7,114.5,112,112,123.4,144.9,169.4,195.3,212.7,243.7,254.9,264.6,272.4,307,306.9,308.8
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Gesamtwert,48.1,57.8,68,90.9,98.7,114.5,112,112,123.4,144.9,169.4,195.3,212.7,243.7,254.9,264.6,272.4,307,306.9,308.8
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Vollprofessor/innen,,,,,,,,,,,,,,1,0,,,,,
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Wissenschaftliche Mitarbeiten..,21.5,23.3,30.1,40.3,41.4,52.4,48.3,39.4,46.7,46.5,54.5,68.2,68.7,87.6,73.8,85.8,87.5,102.2,98.9,94.9
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Techn. & adm. Mitarbeitende,26.6,34.5,37.9,50.7,57.4,62.1,63.8,71.6,74.7,95.5,112.9,126.2,143,155.1,180.2,177.8,184.9,204.8,208,213.9
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Lernende,,,,,,,,1,2,3,2,1,1,0,1,1,0,,,
SL-Stäbe und Abteilungen,Gesamtwert,,177.9,180.2,206,213.8,203.9,223.9,205.4,215.2,234.4,235,237,224.4,234.3,257.2,276,287,299,303.5,303.9,340.4
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Gesamtwert,177.9,180.2,206,213.8,203.9,223.9,205.4,215.2,234.4,235,237,224.4,234.3,257.2,276,287,299,303.5,303.9,340.4
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Vollprofessor/innen,2,2,1,1,,,1,1,,2,2,2,2,2,2,3,2,3,3,2
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Wissenschaftliche Mitarbeiten..,1.8,4.1,3.5,1.1,1.1,1.1,1.8,0.1,1.8,0.8,1.6,2,0.9,1.4,1,1.1,0,,0.5,
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Techn. & adm. Mitarbeitende,173.2,172.2,200.5,211.7,202.8,218.8,198.6,211.1,230.4,228.2,230.4,219.4,227.4,246.9,267,275.9,289,288.5,280.9,308.4
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Lernende,1,2,1,0,,4,4,3,3,4,3,1,4,7,6,7,8,12,20,30
