Year,Field,Nationality,University,Foreign_Count,Total,Foreign_Share_%
2021,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,ETHZ,0,0,
2021,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,ETHZ,0,0,
2021,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,ETHZ,0,0,
2021,99.99 Fach nicht zuteilbar,Ausland,ETHZ,5,9,55.6
2021,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,ETHZ,0,0,
2021,8.1 Zentrale Verwaltung,Ausland,ETHZ,187,941,19.9
2021,8.2 Zentrale Bibliotheken,Ausland,ETHZ,55,328,16.8
2021,8.3 Technische Dienste und Logistik,Ausland,ETHZ,61,415,14.7
2021,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,ETHZ,35,143,24.5
2022,1.1 Theologie,Ausland,ETHZ,0,0,
2022,1.2 Sprach- und Literaturwissenschaften,Ausland,ETHZ,5,10,50.0
2022,1.3 Historische und Kulturwissenschaften,Ausland,ETHZ,19,60,31.7
2022,1.4 Sozialwissenschaften,Ausland,ETHZ,129,190,67.9
2022,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,ETHZ,72,127,56.7
2022,2 Wirtschaftswissenschaften,Ausland,ETHZ,60,131,45.8
2022,3 Recht,Ausland,ETHZ,25,41,61.0
2022,4.1 Exakte Wissenschaften,Ausland,ETHZ,1390,2298,60.5
2022,4.2 Naturwissenschaften,Ausland,ETHZ,1196,1980,60.4
2022,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,ETHZ,606,1079,56.2
2022,5.1 Humanmedizin,Ausland,ETHZ,6,40,15.0
2022,5.2 Zahnmedizin,Ausland,ETHZ,0,0,
2022,5.3 Veterinärmedizin,Ausland,ETHZ,0,0,
2022,5.4 Pharmazie,Ausland,ETHZ,81,146,55.5
2022,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,ETHZ,0,0,
2022,6.1 Bauwesen und Geodäsie,Ausland,ETHZ,864,1696,50.9
2022,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,ETHZ,1686,2728,61.8
2022,6.3 Agrar- und Forstwissenschaften,Ausland,ETHZ,304,617,49.3
2022,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,ETHZ,586,948,61.8
2022,7 Interdisziplinäre und Andere,Ausland,ETHZ,21,70,30.0
2022,8.5 Zentrale Verwaltung (bis 2001),Ausland,ETHZ,0,0,
2022,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,ETHZ,0,0,
2022,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,ETHZ,0,0,
2022,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,ETHZ,0,0,
2022,99.99 Fach nicht zuteilbar,Ausland,ETHZ,5,5,100.0
2022,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,ETHZ,0,0,
