Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistenzprofessor/innen,0,,2,3,2,2,3,3,3,3,5,6,10,10,10,10,10,9,7,7
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Wissenschaftliche Mitarbeiten..,142.6,154.3,176.1,208.5,218,242.7,254.2,256.7,250.7,330,326.9,359.8,399.1,410.4,426.9,457.5,453.5,433.6,426.9,414.6
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Techn. & adm. Mitarbeitende,42.3,43,38.6,44.9,48.6,51.1,68.7,76.5,77.4,84.8,87.8,98.1,102.4,106.8,117.4,119.1,121.8,123.1,130.2,125
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Lernende,5,7.5,7,8,6,6,9,8,8,6,7,5,5,2,0,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Gesamtwert (2),15.4,12.8,13,16.9,15.7,17.5,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistenzprofessor/innen,0,,,,,,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Wissenschaftliche Mitarbeiten..,3.7,1,0.2,1.2,1,2.2,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Techn. & adm. Mitarbeitende,9.8,9.8,9.8,10.7,12.7,12.3,,,,,,,,,,,,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Lernende,2,2,3,5,2,3,,,,,,,,,,,,,,
Management- und Sozialwissenschaften,Gesamtwert,,377.8,398.4,435.2,478.7,491.2,498.7,493,506.5,526.8,554.4,588.5,635.3,630.9,655.3,644.5,637.5,631.5,634.8,635.3,628.8
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Gesamtwert,195.4,210,236.4,253.6,264.5,275.2,263.9,278.3,285.6,305.3,321.5,337,346.9,345.5,345.5,331.1,325.5,318.7,300.9,292.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Vollprofessor/innen,11.2,11.3,12.3,13.3,15.3,16.8,15.8,18.8,17.8,17.5,19.1,18.4,18.4,18.4,19.3,19.3,18.3,20.3,18.3,18.4
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistenzprofessor/innen,1,1,2,2,1,2,3,3,3,3,4,5,4,4,3,2,3,1,1,2
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Wissenschaftliche Mitarbeiten..,148.9,164.3,180.8,196.2,208.1,219.9,208.8,218,229.5,247.8,258.6,271.8,282.7,275,275.6,260,252.7,249.4,231.9,226.9
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Techn. & adm. Mitarbeitende,32.3,31.4,39.3,40.1,38.1,34.5,34.3,36.6,35.3,36,39.8,41.8,39.8,47.1,47.6,49.7,51.5,48,49.7,44.9
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Lernende,2,2,2,2,2,2,2,2,0,1,0,,2,1,0,,,,,
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Gesamtwert,182.4,188.4,198.8,225.1,226.7,223.5,229.1,228.2,241.2,249.1,267,298.3,284.1,309.8,299,306.5,306,316.1,334.4,336.6
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Vollprofessor/innen,16,16,19,19,18,18,19,20,20,19,19,22,21,21,21,22,23,25,25.5,24
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistenzprofessor/innen,1,1,2,4,4,3,3,3,3,3,2,2,3,3,2,3,5,6,6,5
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Wissenschaftliche Mitarbeiten..,115.9,139.1,146.8,172.6,180.1,181.5,182.4,181.6,193.7,201.3,219.6,244.6,224.3,253.1,242.4,248.1,247,252,264.7,263.4
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Techn. & adm. Mitarbeitende,49.5,32.3,31,29.5,24.6,21,23.7,22.5,23.5,24.8,26.4,28.7,35.8,32.7,33.6,33.4,31,33.1,38.2,44.2
