Jahr,Fachbereich,Staatsangehörigkeit (Kategorie),Hochschule,Anzahl
1986,6.3 Agrar- und Forstwissenschaften,Schweiz,UZH,0
1986,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0
1986,6.4 Technische Wissenschaften übergreifend/übrige,Schweiz,UZH,0
1986,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0
1986,7 Interdisziplinäre und Andere,Schweiz,UZH,0
1986,7 Interdisziplinäre und Andere,Ausland,UZH,0
1986,8.5 Zentrale Verwaltung (bis 2001),Schweiz,UZH,262
1986,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,188
1986,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Schweiz,UZH,0
1986,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0
1986,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Schweiz,UZH,0
1986,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0
